卦象,命中总数,本卦理,本卦,之卦理,之卦,朱子占断,南师占断,朱子解读(AI),南师解读(AI),日常事务建议
876678,0,010010,坎,011110,大过,以上爻为主：【本卦坎·四爻辞】六四：樽酒簋(guǐ，食器)贰，用缶，纳约自牖(yǒu，窗)，终无咎｜参【三爻辞】六三：来之坎坎，险且枕，入于坎窞，勿用,两爻同阴阳取上爻：【本卦坎·四爻辞】六四：樽酒簋(guǐ，食器)贰，用缶，纳约自牖(yǒu，窗)，终无咎,本卦坎变之卦大过，三四爻动，朱子断两爻变以上爻为主。坎卦六四“樽酒簋贰，用缶，纳约自牖，终无咎”——重险之中，以一樽薄酒、两簋粗食，瓦缶盛之，从窗牖简约相通，去文存质，终得无咎。占得此卦：处艰难之际，宜屏弃浮文虚礼、以诚信朴实相交结，俭约自守、不饰外表，则险中可安、终免于过。,两爻动取上面那一爻——坎卦六四“樽酒簋贰，用缶，纳约自牖，终无咎”。一杯酒、两碗饭，瓦罐子装着，从小窗户把情意递进去。南师说人到难处，最忌讲排场摆阔气，越简单越见真心。困境里头能这样素素净净、实实在在地待人，把虚头巴脑的东西全省了，反倒能交到掏心窝子的朋友，到末了一点事没有，平平安安过关。,工作：身陷险局宜简朴守诚，稳扎终无咎｜家庭：粗茶淡饭真心待，患难见真情｜出行：险途不宜远，就近谨慎为妥｜财富：开源不易宜节俭，薄利也当守｜交友：以诚相交不图排场，真心得援｜学业：困境中静心苦读，守恒可通｜健康：留意慢性隐患，清淡调养勿猛攻｜诉讼：处劣势宜低调诚恳，求和免祸
876679,0,010011,涣,011110,大过,本卦为主：【本卦涣·卦辞】涣，亨，王假有庙，利涉大川，利贞｜参【之卦大过·卦辞】大过，栋桡(náo，曲)，利有攸往，亨,取所动中爻：【本卦涣·四爻辞】六四：涣其群，元吉。涣有丘，匪夷所思,本卦涣变之卦大过，三四上爻动，朱子断三爻变以本卦卦辞为主、参之卦。涣卦“亨，王假有庙，利涉大川，利贞”——涣散之时反得亨通，君王至诚立庙以聚人心，乘此可涉大川、利于守正。占得此卦：当人心涣散之际，宜以诚信立信、聚拢众志，则可冒难前行、成就大事，惟须守正；再参之卦大过“栋桡，利有攸往，亨”，重任在肩，奋然往担反能亨。,三爻动取中间那一爻——涣卦六四“涣其群，元吉，涣有丘，匪夷所思”。涣是冲散、化开。南师讲这一爻妙在散小群、成大丘：先把自己那个小山头、小圈子打散，反而大吉，散完又聚成更大的一片，一般人想破脑袋也想不到。做人别死守着小团伙的私利，肯打散重组、往大格局去，常常收获意料之外的好。,工作：涣散局面宜聚人心，敢担重任可通｜家庭：离心之时多沟通，聚合方安宁｜出行：利远行渡难关，聚力则顺｜财富：散财聚人反得利，眼光放长远｜交友：广结群力散小我，众志成城｜学业：整合零散勤梳理，聚沙成塔｜健康：气血宜疏通，动则散郁结｜诉讼：化解为上聚人和，勿一味硬争
876686,0,010000,师,011101,鼎,本卦为主：【本卦师·卦辞】师，贞，丈人吉，无咎｜参【之卦鼎·卦辞】鼎，元吉，亨,取所动中爻：【本卦师·四爻辞】六四：师左次，无咎,本卦师变之卦鼎，三四上爻动，朱子断三爻变以本卦卦辞为主、参之卦。师卦“贞，丈人吉，无咎”——用兵兴众必以守正为本，须老成持重之人统率，方得吉而无咎。占得此卦：凡统众任事，宜择德望兼隆者主持、名正令行，则上下用命、可免过失；再参之卦鼎“元吉，亨”，鼎以养贤成新，得人而器成，大善而亨通。,三爻动取中爻——师卦六四“师左次，无咎”。“左次”就是往后退、驻扎下来。南师说会打仗的人不是只知道猛冲，关键时候敢撤、肯停，才是真本事。形势不对、力气不够，就先退回来歇脚整顿，半点不算输。人活一世也一样：明知此路不通就别犟着往前撞，退一步把阵脚稳住，留着实力等机会，自然没有过错。,工作：谋事得老成之人主持，暂退蓄力再图新｜家庭：以长者持重定家风，稳中革新｜出行：暂缓远行整装待，时机成熟再动｜财富：守成为先勿冒进，稳后再谋革新｜交友：贵在得持重可靠之人，托付放心｜学业：打牢根基暂退整顿，厚积薄发｜健康：暂缓劳损调养身，养精再上阵｜诉讼：宜守正待援，得老成相助方顺
876687,0,010001,蒙,011101,鼎,以上爻为主：【本卦蒙·四爻辞】六四：困蒙，吝｜参【三爻辞】六三：勿用取女，见金夫，不有躬，无攸利,两爻同阴阳取上爻：【本卦蒙·四爻辞】六四：困蒙，吝,本卦蒙变之卦鼎，三四爻动，朱子断两爻变以上爻为主。蒙卦六四“困蒙，吝”——困陷蒙昧之中，远离贤明、无人启迪，是可羞吝之象。占得此卦：当戒自身闭塞不通、又不肯亲近良师益友；若一味孤陋自守，则蒙昧愈深、终致悔吝。宜虚心下问、亲贤远佞，就明达之人以开其蒙，方能转吝为通。,两爻动取上面那一爻——蒙卦六四“困蒙，吝”。困在糊涂里出不来，要吃亏。南师说这种人最难办：身边偏偏没个明白人提点，自己又拉不下脸去问，越闷越蒙。做人千万别为了面子死扛，不懂就老老实实去请教高人；整天关起门来自以为是、孤陋寡闻，路只能越走越死。肯虚心低头，这个困字就破了，亏也就不吃了。,工作：蒙昧受困易生吝，虚心求教破局｜家庭：隔阂难通宜坦诚，勿闭门自误｜出行：路径不明勿盲行，问清再走｜财富：糊涂账易吃亏，理清方向再动｜交友：困于孤陋宜请益，择明者亲｜学业：闭塞不通须开窍，勤问名师｜健康：病因不明宜细查，勿讳疾忌医｜诉讼：情势不明宜谨慎，问明再决
876688,0,010000,师,011100,恒,以上爻为主：【本卦师·四爻辞】六四：师左次，无咎｜参【三爻辞】六三：师或舆(yú，车)尸，凶,两爻同阴阳取上爻：【本卦师·四爻辞】六四：师左次，无咎,本卦师变之卦恒，三四爻动，朱子断两爻变以上爻为主。师卦六四“师左次，无咎”——用兵之际，量势而退、左旋驻扎，非怯也，乃知难而善处，故无咎。占得此卦：凡任事遇阻，宜审时度势，不可恃勇强进；当退则退、择地自固，保全实力以待其时，则虽退无过。守正待机，方为持重之道。,两爻动取上面那一爻——师卦六四“师左次，无咎”。“左次”是退兵安营。南师讲，真正会带兵的，进退都拿得稳，不是一根筋只会往前拼。眼下打不过、时机没到，就大大方方退回来扎稳营盘，这不丢人，反而稳当。做人也是这个理：前面明显是死胡同，硬闯只会撞得头破血流；懂得退一步、缓一缓，把家底守住，才是真聪明，没错处。,工作：审时暂退无过错，久拖硬撑反招损｜家庭：小摩擦宜暂避锋，勿久争伤和｜出行：不利久行，适时折返为安｜财富：见好收手守常态，忌恋战贪进｜交友：合则聚不合暂离，勿强维系｜学业：劳逸有度守恒心，忌疲劳苦战｜健康：过劳伤身宜休整，持之调养｜诉讼：适时退让免久耗，恋战有凶
876689,0,010001,蒙,011100,恒,本卦为主：【本卦蒙·卦辞】蒙，亨。匪我求童蒙，童蒙求我。初筮(shì，占问)告，再三渎(dú，轻慢)则不告。利贞｜参【之卦恒·卦辞】恒，亨，无咎，利贞，利有攸往,取所动中爻：【本卦蒙·四爻辞】六四：困蒙，吝,本卦蒙变之卦恒，三四上爻动，朱子断三爻变以本卦卦辞为主、参之卦。蒙卦“亨，匪我求童蒙，童蒙求我；初筮告，再三渎则不告，利贞”——启蒙之道贵在诚求，师不强教，待学者诚心来问；初次专诚则告之，反复轻慢则止，守正乃利。占得此卦：宜虚心专一、以诚求教，则蒙开而亨；再参之卦恒“亨，无咎，利贞，利有攸往”，持之以恒、守常不变，自可亨通而利往。,三爻动取中间那一爻——蒙卦六四“困蒙，吝”。被蒙昧困住、出不来，是要吃亏的。南师说人怕就怕这个困字：身边没人点醒，自己又懒得、又拉不下脸去请教，于是越糊涂越闭塞。做事别死要面子，遇到不懂的就找明白人问个清楚；老想着自己闷头琢磨、孤陋寡闻，只会越陷越深。肯放下身段去学去问，困局自然就解开了。,工作：不懂就问持恒学，稳步开窍可通｜家庭：耐心教导重恒久，勿急于求成｜出行：路生宜问，循常道稳行｜财富：理财先学后动，长久积累见效｜交友：诚心求教结良师，久处得益｜学业：童蒙求教关键期，持之以恒必成｜健康：养生贵在坚持，循序渐进｜诉讼：不明宜请教明白人，守正持恒
876696,0,010010,坎,011101,鼎,以下爻为主：【之卦鼎·初爻辞】初六：鼎颠趾，利出否，得妾以其子，无咎｜参【二爻辞】九二：鼎有实，我仇有疾，不我能即，吉,取下静爻：【本卦坎·初爻辞】初六：习坎，入于坎窞(dàn，深坑)，凶,本卦坎变之卦鼎，四爻动，朱子断四爻变取之卦两不变爻、以下爻为主。鼎初六“鼎颠趾，利出否，得妾以其子，无咎”——鼎足倾覆朝上，看似不吉，却利于倒出陈腐污秽；如纳妾而得贤子，因贱致贵，终无过失。占得此卦：身处变革之初，宜借乱除旧、倾去积弊，虽起步颠倒，反成更新之机；再参九二“鼎有实，我仇有疾，不我能即，吉”，自身充实，谗者难近，守正则吉。,四爻动，南师取下边那个没动的静爻——坎卦初六“习坎，入于坎窞，凶”。一脚踩进重重陷坑、又掉到坑底的深窟窿里，凶。南师说这是提醒人：本来就在险中，还往更深处栽，那是自己往绝路上走。做人遇到难处，先别慌着乱动，越挣扎陷得越深。看清脚下、稳住心神，别一头扎进看不见底的坑里；明知是火坑还往里跳，怪不得别人，凶就凶在不知止。,工作：深陷险局须变革，去旧纳新才有路｜家庭：僵局宜破旧立新，勿死守生怨｜出行：险途不宜久留，另寻出路为上｜财富：旧法失利宜转向，及时止损革新｜交友：远拖累近新友，去弊得益｜学业：旧法不通换思路，破局革新｜健康：顽疾宜换方调理，勿一味硬扛｜诉讼：陷入不利宜变策，另辟蹊径
876697,0,010011,涣,011101,鼎,本卦为主：【本卦涣·卦辞】涣，亨，王假有庙，利涉大川，利贞｜参【之卦鼎·卦辞】鼎，元吉，亨,取所动中爻：【本卦涣·四爻辞】六四：涣其群，元吉。涣有丘，匪夷所思,本卦涣变之卦鼎，三四五爻动，朱子断三爻变以本卦卦辞为主、参之卦。涣卦“亨，王假有庙，利涉大川，利贞”——涣散之时反能亨通，君王至诚立庙、收拾人心，乘势可涉大川而守正得利。占得此卦：当人心离散之际，宜以诚信感召、聚合众力，则可冒险济难、成就大业，惟须持正；再参之卦鼎“元吉，亨”，鼎以养贤、革故鼎新，得人成器，大善亨通。,三爻动取中间那一爻——涣卦六四“涣其群，元吉，涣有丘，匪夷所思”。涣是冲散化开。南师说这一爻精彩：先把自己那个小圈子、小山头散掉，反而大吉，散完又能聚成一座更大的丘，这种本事一般人想都想不到。做人别死抱着小团伙的私利不撒手，肯把私党打散、奔着大格局去，往往得到意想不到的好处。,工作：散局聚人再革新，敢作敢为大吉｜家庭：离心宜重聚，焕然一新添和气｜出行：利远行渡险，聚力革新皆顺｜财富：散财聚势再图新，正财亨通｜交友：广纳良朋除旧弊，众力成事｜学业：整合梳理换新法，进益可期｜健康：疏通郁结换调养，气血一新｜诉讼：化解聚和求新解，秉正则吉
876698,0,010010,坎,011100,恒,本卦为主：【本卦坎·卦辞】习坎，有孚，维心亨，行有尚｜参【之卦恒·卦辞】恒，亨，无咎，利贞，利有攸往,取所动中爻：【本卦坎·四爻辞】六四：樽酒簋(guǐ，食器)贰，用缶，纳约自牖(yǒu，窗)，终无咎,本卦坎变之卦恒，三四五爻动，朱子断三爻变以本卦卦辞为主、参之卦。习坎“有孚，维心亨，行有尚”——重险叠陷之中，唯恃内心诚信，心通则路通，奋然前行方有功可尚。占得此卦：身陷艰险，宜守一片至诚、不怀侥幸，以定力破难关，则险可越、行有成；再参之卦恒“亨，无咎，利贞，利有攸往”，贵在恒久守常，持之以正，自然亨通利往。,三爻动取中间那一爻——坎卦六四“樽酒簋贰，用缶，纳约自牖，终无咎”。一樽酒、两簋饭，拿瓦盆盛着，从窗口把情意递进去。南师说人到了难处，最要紧的是去掉那些虚排场，拿真心实意待人。越是患难关头，越得朴素诚恳，一杯薄酒就够了。把花架子全撤了、实打实地相交，反而能结下过命的交情，到头来平平安安，没有过错。,工作：身处险境守诚心，持恒行事有嘉尚｜家庭：难中同心守本分，久处得安宁｜出行：险途宜谨慎守常，诚敬可通｜财富：困中守正不投机，恒心积累｜交友：患难见真心，以诚久交｜学业：逆境守恒勤不辍，心诚终亨｜健康：慢病守常调养，贵在持之以恒｜诉讼：守正诚信不摇摆，持之则通
876699,0,010011,涣,011100,恒,以下爻为主：【之卦恒·初爻辞】初六：浚(jùn，深)恒，贞凶，无攸利｜参【二爻辞】九二：悔亡,取下静爻：【本卦涣·初爻辞】初六：用拯马壮，吉,本卦涣变之卦恒，四爻动，朱子断四爻变取之卦两不变爻、以下爻为主。恒初六“浚恒，贞凶，无攸利”——立身之初便急求恒久、深挖不已，操之过急，虽守此道亦凶，无所利。占得此卦：当戒急功近利、一开头就强求长久稳固；根基未立而过度深求，反招凶险。宜循序渐进、徐图其常；再参九二“悔亡”，能守中持正、不偏不躁，则悔可消。,四爻动，南师取下边那个没动的静爻——涣卦初六“用拯马壮，吉”。趁着马还壮实有力，赶紧借这股劲儿去拯救、去解决问题，吉利。南师说这是讲抓时机：人心刚要涣散、苗头初起的时候，正是好下手的当口，手里又有得力的帮手，就该当机立断地去救。别拖，等到散透了、马也累垮了再动手就晚了。趁势而为、趁早出手，这才叫吉。,工作：涣散中急求久安反招凶，宜振作奋进｜家庭：勿一味求恒生逼迫，用力扭转方安｜出行：不宜久滞深陷，快马奋进得吉｜财富：守旧深耗反有险，果断振作图变｜交友：勿死缠旧交，奋起结新缘｜学业：钻牛角尖反受困，振作换法｜健康：久拖生变宜奋治，及时振作调理｜诉讼：拖延深究反凶，果断处置得吉
876766,0,010100,解,011111,姤,本卦为主：【本卦解·卦辞】解，利西南，无所往，其来复吉。有攸往，夙(sù，早)吉｜参【之卦姤·卦辞】姤，女壮，勿用取女,取所动中爻：【本卦解·五爻辞】六五：君子维有解，吉，有孚于小人,本卦解、之卦姤，三、五、上三爻俱动，朱子断三爻变以本卦卦辞为主、参之卦。解卦辞'利西南，无所往，其来复吉。有攸往，夙吉'——险难既已纾解，无事则安守复常即吉，有事则宜趁早图之、不可迟疑。占得此卦：身处困解之际，宜审时进退，无大举则归于平正、守静养力，有当行之事则当机立断、早作早成；再参之卦姤'女壮，勿用取女'，提醒解后易生不正之遇，须守正自持，方不致复堕新患。,三爻动，南师取所动当中那一爻——解卦六五'君子维有解，吉，有孚于小人'。难处刚刚松开，君子能解得开自己心里的疙瘩，这才叫真吉；更要紧的是'有孚于小人'，连原先那些难缠的小人都被你的诚信感化了。做人化解恩怨，光自己想通还不够，得让对方也服气、也信你。心里放得下、待人留得诚，旧仇旧怨慢慢就散了，路也就宽了。,工作：险难消解宜进取，防小人不期而遇｜家庭：化解旧怨归和睦，慎防外扰生变｜出行：利往顺遂，途中防偶遇是非｜财富：解困得利宜把握，慎防意外之诱｜交友：远小人近君子，勿轻信新遇｜学业：难关得解宜乘进，防外物分心｜健康：病去体轻宜调养，防外邪偶侵｜诉讼：得解占上风，慎防节外生枝
876767,0,010101,未济,011111,姤,以上爻为主：【本卦未济·五爻辞】六五：贞吉，无悔，君子之光，有孚，吉｜参【三爻辞】六三：未济，征凶，利涉大川,两爻同阴阳取上爻：【本卦未济·五爻辞】六五：贞吉，无悔，君子之光，有孚，吉,未济变姤，三、五两爻动，朱子断二爻变以上爻为主、参下动之爻。上动者未济六五'贞吉，无悔，君子之光，有孚，吉'——事虽未成，然居中守正则吉而无悔，君子德辉外著、诚信孚人，终得亨吉。占得此卦：身处将成未成之时，宜持正自守、不急于求功，以诚信光明示人；参三爻'未济，征凶，利涉大川'，则知妄进有险、唯守正可济，光华自显而吉庆随之。,两爻同是阴爻，南师取上头那一爻——未济六五'贞吉，无悔，君子之光，有孚，吉'。事情还没办成，可只要你走得正，就吉利、就不后悔。'君子之光'四个字最提气：一个人本事到位、人品端正，自然会发光，别人远远就看见了。再加上一个'孚'字，讲的是信用。做人做事到了快成没成的节骨眼，别毛躁，把正派和信用守住，光是藏不住的，好事自然找上门。,工作：事虽未成有光明，守诚可成防偶阻｜家庭：将成未成宜耐心，慎防外扰｜出行：可行未竟宜谨慎，防途中意外｜财富：进益在望勿松懈，防不正之诱｜交友：以诚待人得光彩，慎交新遇｜学业：将成之际莫松劲，守正终有光｜健康：将愈宜巩固，防偶发反复｜诉讼：占理有光明，守正防节外生枝
876768,0,010100,解,011110,大过,以上爻为主：【本卦解·五爻辞】六五：君子维有解，吉，有孚于小人｜参【三爻辞】六三：负且乘，致寇至，贞吝,两爻同阴阳取上爻：【本卦解·五爻辞】六五：君子维有解，吉，有孚于小人,解变大过，三、五两爻动，朱子断二爻变以上爻为主、参下动之爻。上动者解卦六五'君子维有解，吉，有孚于小人'——居尊能解纷释结，吉；且以诚信感及小人，使其退服。占得此卦：处纾难居中之位，宜以宽和化解积怨、不徒以威压人；参三爻'负且乘，致寇至，贞吝'，则当戒处非其位、招怨致寇之失，唯诚信解结，方得吉而无咎。,两爻都是阴爻，南师取上面那一爻——解卦六五'君子维有解，吉，有孚于小人'。当头儿的人，最大的本事是把疙瘩解开。自己能放下成见是第一步，更高一层是'有孚于小人'：连那些原本跟你过不去的人，都被你的厚道和信用打动了。南师常说，化干戈要靠诚意不靠手腕。你心里先松开了，待人又实在，难缠的人也会慢慢服你，事情就这么解开了。,工作：难题得解宜进取，防德不配位招祸｜家庭：化解旧结归安和，勿贪多惹是非｜出行：利往顺畅，防负重逞强招险｜财富：解困得利须量力，贪多招寇致吝｜交友：得助解难宜守分，勿高攀惹祸｜学业：难关得破宜稳进，忌好高骛远｜健康：病解宜循序调养，勿过度用力｜诉讼：得解占优宜守正，勿贪胜招怨
876769,0,010101,未济,011110,大过,本卦为主：【本卦未济·卦辞】未济，亨，小狐汔(qì，几乎)济，濡其尾，无攸利｜参【之卦大过·卦辞】大过，栋桡(náo，曲)，利有攸往，亨,取所动中爻：【本卦未济·五爻辞】六五：贞吉，无悔，君子之光，有孚，吉,本卦未济、之卦大过，三、五、上三爻俱动，朱子断三爻变以本卦卦辞为主、参之卦。未济卦辞'亨，小狐汔济，濡其尾，无攸利'——事有可成之机，然如小狐过河将至而濡尾，功亏一篑，故无所利。占得此卦：处将成之际最忌轻率收尾，宜慎终如始、不可松懈；再参之卦大过'栋桡，利有攸往，亨'，知任重势危之时，唯果决担当、扶倾持危，方能转桡为亨。,三爻动，南师取当中那一爻——未济六五'贞吉，无悔，君子之光，有孚，吉'。事还在半道上没成，别急。守得住正道就吉利、就不后悔。'君子之光'说的是：人正、活儿硬，自己就会发亮，旁人都看得见。后头一个'孚'字是信用。南师的意思很实在：越是事情快成的时候越要稳住，把人品和信用攥牢，你这点光遮不住，吉庆是水到渠成的事。,工作：功近成防松懈，善始善终才有光｜家庭：将圆满宜谨慎，勿末节生变｜出行：将达目的莫大意，谨慎收尾｜财富：进益在望勿冒进，稳收方得利｜交友：诚信得光彩，交往有始有终｜学业：临门一脚莫松劲，坚持到底｜健康：将愈宜谨守，防功亏一篑｜诉讼：占理近成守正，勿功败垂成
876776,0,010110,困,011111,姤,以上爻为主：【本卦困·上爻辞】上六：困于葛藟(lěi)，于臲卼(niè wù，动摇)，曰动悔有悔，征吉｜参【三爻辞】六三：困于石，据于蒺藜(jí lí)，入于其宫，不见其妻，凶,两爻同阴阳取上爻：【本卦困·上爻辞】上六：困于葛藟(lěi)，于臲卼(niè wù，动摇)，曰动悔有悔，征吉,困变姤，三、上两爻动，朱子断二爻变以上爻为主、参下动之爻。上动者困卦上六'困于葛藟，于臲卼，曰动悔有悔，征吉'——困极如缠于藤蔓、身处动摇，然知悔思动、悔而能改，则前往得吉。占得此卦：身陷穷蹙将出之时，宜痛自省察、毅然改图，勿安于困而坐困；参三爻'困于石，据于蒺藜，入于其宫，不见其妻，凶'，则戒进退失据之凶，唯动而知悔、奋然求脱，方转凶为吉。,两爻都是阴爻，南师取上头那一爻——困卦上六'困于葛藟，于臲卼，曰动悔有悔，征吉'。困到了头，就像被藤藤蔓蔓缠住手脚，站也站不稳。南师说这是最难受的'死结'。可后面话锋一转：你要是肯动、肯认错、肯改，悔过之后再往前走，反倒吉利。做人最怕困住了还赖着不动、不肯认。能咬牙挣一挣、把过去的错改了，缠住你的藤就松了，路就通了。,工作：身陷困局宜自省，动而知悔前行吉｜家庭：受困勿抱怨，反省破局得转机｜出行：困顿之时慎远行，突围宜谨慎｜财富：财路受阻宜反思，动中求变可通｜交友：困中识人心，远险者近助者｜学业：瓶颈期宜自省，奋起突围有成｜健康：久困体乏宜调节，动则舒困｜诉讼：受困宜自省守正，动而有悔终得吉
876777,0,010111,讼,011111,姤,【本卦讼·三爻辞】六三：食旧德，贞厉，终吉。或从王事，无成,【本卦讼·三爻辞】六三：食旧德，贞厉，终吉。或从王事，无成,讼变姤，唯三爻独动，朱子断一爻变即以本卦该动爻辞为主。讼卦六三'食旧德，贞厉，终吉。或从王事，无成'——安享旧有之德分，守正虽危而终得吉；纵从公家之事，亦当退让不居其功。占得此卦：身处争讼之世，宜守分安常、不贪非分之争，虽处境艰危，守正终能获吉；若辅人成事，当让功不矜，方免争端而保全终吉。,就三爻一爻动，南师直接讲这条爻——讼卦六三'食旧德，贞厉，终吉。或从王事，无成'。'食旧德'就是吃老本、守着祖上和过去积下的德分过日子，别去跟人争。守正难免有点凶险，但熬到头是吉的。后半句更见世故：就算给上头办事、立了功，也别把功劳往自己身上揽，'无成'是说成了也别居功。南师提醒：少争、守本分、立功让人，这种人最后吃不了亏。,工作：守旧职安本分莫争强，贞守虽险终得吉｜家庭：食旧德念旧情，纠纷退让保和睦｜出行：不宜远行争利，守家为稳｜财富：守住旧有勿妄求，从事无成不强图｜交友：安分相处不邀功，避争则安｜学业：温故守成打底子，不逞一时之能｜健康：旧疾静养勿硬扛，安稳调理｜诉讼：讼终不利宜早退，守正忍让方免祸
876778,0,010110,困,011110,大过,【本卦困·三爻辞】六三：困于石，据于蒺藜(jí lí)，入于其宫，不见其妻，凶,【本卦困·三爻辞】六三：困于石，据于蒺藜(jí lí)，入于其宫，不见其妻，凶,困变大过，唯三爻独动，朱子断一爻变即以本卦该动爻辞为主。困卦六三'困于石，据于蒺藜，入于其宫，不见其妻，凶'——前阻于顽石、退据于蒺藜，进退皆伤；归而失其所安，至于不见其妻，凶之甚也。占得此卦：身处困境而所处非位，宜知险知止、不可妄动强求；当此进退维谷之时，强进则触石、强退则刺身，唯安守自固、待时而后动，庶可避凶。,就三爻一爻动，南师专讲这条爻——困卦六三'困于石，据于蒺藜，入于其宫，不见其妻，凶'。南师把它翻得很惨：往前撞上大石头，搬不动；往后退又坐进了蒺藜窝，扎得慌；好不容易回了家，连老婆都不见了。这是进退两难、里外不是人的死局。做人到了这种处境，最忌硬来。南师的提醒是：先别动，看清楚再说，认清自己站错了地方，稳住别乱，才不至于把凶事招得更狠。,工作：处处受阻如据蒺藜，暂停硬闯守本分｜家庭：归家不见妻凶象，多陪伴防冷落生变｜出行：切忌远行冒险，动则遇险守静｜财富：困顿破财之时，紧守勿投勿借｜交友：进退皆碰壁，慎交远是非防陷阱｜学业：撞南墙无所得，换法子莫死磕｜健康：内外交困要警觉，及早就医勿拖｜诉讼：凶险重重必败，速止息争勿深陷
876779,0,010111,讼,011110,大过,以上爻为主：【本卦讼·上爻辞】上九：或锡(cì，赐)之鞶(pán)带，终朝三褫(chǐ，夺)｜参【三爻辞】六三：食旧德，贞厉，终吉。或从王事，无成,取阴爻（主未来）：【本卦讼·三爻辞】六三：食旧德，贞厉，终吉。或从王事，无成,讼变大过，三、上两爻动，朱子断二爻变以上爻为主、参下动之爻。上动者讼卦上九'或锡之鞶带，终朝三褫'——讼而幸胜得受荣赐之鞶带，然一朝之内三遭褫夺，所得不足恃。占得此卦：以争讼得来之利位，纵一时得志亦难久保，骤得骤失，徒招反复；参三爻'食旧德，贞厉，终吉'，则知唯守旧德、不贪讼利，方为长保终吉之道。,两爻动里有阴有阳，南师取主未来的那条阴爻——讼卦六三'食旧德，贞厉，终吉。或从王事，无成'。'食旧德'就是守着老本、靠过去积下的好处过活，别一味跟人争。守得正，虽有点险，到头来是吉的。再加一句：替别人办成了事，也别抢功劳。南师的世故就在这儿——争来的东西像上九那样，今天给你明天就夺走；倒不如老老实实守本分、肯让人，反而稳稳当当走到吉。,工作：纵得一时之赏也难保，争强易失戒贪功｜家庭：得而复失须知足，守成勿因利伤情｜出行：出行虽有得亦生变，不如安守｜财富：横财三夺终成空，正道守财勿妄取｜交友：因争得利招人夺，谦让方能久处｜学业：所得易失须巩固，戒骄防反复｜健康：反复无常宜静养，勿逞强生变｜诉讼：争讼纵胜必再夺，见好即收莫恋战
876786,0,010100,解,011101,鼎,以上爻为主：【本卦解·上爻辞】上六：公用射隼(sǔn，鹰)于高墉之上，获之，无不利｜参【三爻辞】六三：负且乘，致寇至，贞吝,两爻同阴阳取上爻：【本卦解·上爻辞】上六：公用射隼(sǔn，鹰)于高墉之上，获之，无不利,解变鼎，三、上两爻动，朱子断二爻变以上爻为主、参下动之爻。上动者解卦上六'公用射隼于高墉之上，获之，无不利'——居解之极，如王公张弓射高墙之恶鹰，一发而获，去害除恶，无所不利。占得此卦：当纾难收功之时，宜审机蓄势、一举除患，毋姑息养奸；参三爻'负且乘，致寇至，贞吝'，则戒处非其位、自招盗寇之失，唯果断去害，方得无不利。,两爻都是阴爻，南师取上头那一爻——解卦上六'公用射隼于高墉之上，获之，无不利'。南师讲得带劲：一位王公搭弓，瞄准蹲在高墙上的那只恶鹰，一箭射下来，逮个正着，怎么干怎么顺。这是除害要趁准、要果断的意思。做事到了该收尾、该解决祸根的时候，别心软、别拖。先把势蓄足、把时机看准，一击中的，问题除得干净，往后才真叫'无不利'。,工作：时机已到当机立断除积弊，无往不利｜家庭：果断化解旧矛盾，扫清障碍家自安｜出行：利远行诸事顺，把握良机则通｜财富：解困得利正当谋，抓住时机有进益｜交友：远小人清是非，正气聚则善缘来｜学业：突破瓶颈攻难关，一举得成｜健康：宿疾得解身渐轻，趁势调养｜诉讼：占理占势宜果断，秉正申诉必胜
876787,0,010101,未济,011101,鼎,【本卦未济·三爻辞】六三：未济，征凶，利涉大川,【本卦未济·三爻辞】六三：未济，征凶，利涉大川,未济变鼎，唯三爻独动，朱子断一爻变即以本卦该动爻辞为主。未济六三'未济，征凶，利涉大川'——事犹未济，居阴处险，遽进则凶；然时当奋发，唯济大险、勇渡大川，乃可图功。占得此卦：身处未成之际，宜辨可为不可为，不审而妄进则取凶；若大事当前、势所必行，则当鼓勇任难、涉险求济，险中乃有可成之机。,就三爻一爻动，南师专讲这条爻——未济六三'未济，征凶，利涉大川'。事还没办成，这时候你要是冒冒失失往前冲，'征凶'，要栽跟头。可奇就奇在后半句'利涉大川'——真碰上必须过的大江大河、躲不开的大事，那又得豁出去渡过去。南师的意思是：小打小闹瞎折腾不行，但该担的大担子来了，就得鼓起劲闯。看清是哪一种，别拿冒进当魄力，也别拿胆小当稳重。,工作：事未成时冒进则凶，蓄力可涉险图变｜家庭：家事未定勿急躁，稳住阵脚待转机｜出行：贸然远行有凶，谋定而后动方可｜财富：时机未熟忌大投，积蓄待时再图｜交友：交情未稳勿深托，观察后再进｜学业：功夫未到勿求速成，扎实积累再突破｜健康：病未愈忌大动，静养固本为先｜诉讼：时机不利勿强争，待势明再申诉
